PID,Data0,Data1,Seq
0x05,57,00,19
0x23,0F,A3,19
0x0C,0C,A2,115
0x0D,00,00,115
0x11,32,00,77
0x0F,3F,00,77
0x04,40,00,77
0x0C,0C,8C,116
0x0D,00,00,116
0x0C,0C,7C,117
0x0D,00,00,117
0x11,34,00,78
0x0F,3F,00,78
0x04,41,00,78
0x10,04,BA,39
0x42,36,C7,39
0x0C,0C,73,118
0x0D,00,00,118
0x11,34,00,79
0x0F,3F,00,79
0x04,43,00,79
0x0C,0C,79,119
0x0D,00,00,119
0x0C,0C,86,120
0x0D,00,00,120
0x11,35,00,80
0x0F,3F,00,80
0x04,41,00,80
0x10,04,B4,40
0x42,36,EE,40
0x05,57,00,20
0x23,0F,A3,20
0x1F,00,D3,10
0x0C,0C,7C,121
0x0D,00,00,121
0x11,34,00,81
0x0F,3F,00,81
0x04,47,00,81
0x0C,0C,76,122
0x0D,00,00,122
0x0C,0C,7C,123
0x0D,00,00,123
0x11,35,00,82
0x0F,3F,00,82
0x04,42,00,82
0x10,04,AB,41
0x42,37,8A,41
0x0C,0C,86,124
0x0D,00,00,124
0x11,34,00,83
0x0F,3F,00,83
0x04,46,00,83
0x0C,0C,83,125
0x0D,00,00,125
0x0C,0C,70,126
0x0D,00,00,126
0x11,34,00,84
0x0F,3F,00,84
0x04,3B,00,84
0x10,04,AE,42
0x42,36,EE,42
0x05,57,00,21
0x23,10,79,21
0x0C,0C,8C,127
0x0D,00,00,127
0x11,34,00,85
0x0F,3F,00,85
0x04,36,00,85
0x0C,0C,89,128
0x0D,00,00,128
0x0C,0C,86,129
0x0D,00,00,129
0x11,34,00,86
0x0F,3F,00,86
0x04,37,00,86
0x10,04,A5,43
0x42,36,C7,43
0x0C,0C,89,130
0x0D,00,00,130
0x11,34,00,87
0x0F,3F,00,87
0x04,37,00,87
0x0C,0C,89,131
0x0D,00,00,131
0x0C,0C,80,132
0x0D,00,00,132
0x11,34,00,88
0x0F,3F,00,88
0x04,35,00,88
0x10,04,93,44
0x42,37,29,44
0x05,58,00,22
0x23,0F,A3,22
0x1F,00,D7,11
0x0C,0C,79,133
0x0D,00,00,133
0x11,34,00,89
0x0F,3F,00,89
0x04,36,00,89
0x0C,0C,86,134
0x0D,00,00,134
0x0C,0C,76,135
0x0D,00,00,135
0x11,34,00,90
0x0F,3F,00,90
0x04,38,00,90
0x10,04,B7,45
0x42,36,DA,45
0x0C,0C,76,136
0x0D,00,00,136
0x11,34,00,91
0x0F,3F,00,91
0x04,36,00,91
0x0C,0C,80,137
0x0D,00,00,137
0x0C,0C,80,138
0x0D,00,00,138
0x11,34,00,92
0x0F,3F,00,92
0x04,37,00,92
0x10,04,A0,46
0x42,36,79,46
0x05,58,00,23
0x23,0F,47,23
0x0C,0C,83,139
0x0D,00,00,139
0x11,34,00,93
0x0F,3F,00,93
0x04,38,00,93
0x0C,0C,73,140
0x0D,00,00,140
0x0C,0C,7C,141
0x0D,00,00,141
0x11,34,00,94
0x0F,3F,00,94
0x04,38,00,94
0x10,04,8F,47
0x42,37,63,47
0x0C,0C,80,142
0x0D,00,00,142
0x11,34,00,95
0x0F,3F,00,95
0x04,37,00,95
0x0C,0C,80,143
0x0D,00,00,143
0x0C,0C,92,144
0x0D,00,00,144
0x11,34,00,96
0x0F,3F,00,96
0x04,34,00,96
0x10,04,A5,48
0x42,37,3C,48
0x05,58,00,24
0x23,10,79,24
0x1F,00,DB,12
0x0C,0C,83,145
0x0D,00,00,145
0x11,34,00,97
0x0F,3F,00,97
0x04,34,00,97
0x0C,0C,7C,146
0x0D,00,00,146
0x0C,0C,80,147
0x0D,00,00,147
0x11,34,00,98
0x0F,3F,00,98
0x04,33,00,98
0x10,04,A3,49
0x42,36,B3,49
0x0C,0C,83,148
0x0D,00,00,148
0x11,34,00,99
0x0F,3F,00,99
0x04,36,00,99
0x0C,0C,79,149
0x0D,00,00,149
0x0C,0C,7C,150
0x0D,00,00,150
0x11,34,00,100
0x0F,3F,00,100
0x04,36,00,100
0x10,04,9D,50
0x42,37,15,50
0x05,58,00,25
0x23,0F,66,25
0x0C,0C,7C,151
0x0D,00,00,151
0x11,34,00,101
0x0F,3F,00,101
0x04,36,00,101
0x0C,0C,80,152
0x0D,00,00,152
0x0C,0C,79,153
0x0D,00,00,153
0x11,34,00,102
0x0F,3F,00,102
0x04,3C,00,102
0x10,04,A9,51
0x42,36,C7,51
0x0C,0C,4E,154
0x0D,00,00,154
0x11,3F,00,103
0x0F,3F,00,103
0x04,4C,00,103
0x0C,0C,99,155
0x0D,00,00,155
0x0C,0C,BE,156
0x0D,00,00,156
0x11,34,00,104
0x0F,3F,00,104
0x04,3B,00,104
0x10,04,8C,52
0x42,36,52,52
0x05,58,00,26
0x23,0F,E0,26
0x1F,00,DF,13
0x0C,0C,92,157
0x0D,00,00,157
0x11,34,00,105
0x0F,3F,00,105
0x04,3D,00,105
0x0C,0C,8F,158
0x0D,00,00,158
0x0C,0C,83,159
0x0D,00,00,159
0x11,34,00,106
0x0F,3F,00,106
0x04,3F,00,106
0x10,04,90,53
